Datum,Dag,Skift,Starttid,Sluttid,Skifttyp,Helg
2024-01-01,måndag,M,06:00,14:00,Morgon,false
2024-01-02,tisdag,M,06:00,14:00,Morgon,false
2024-01-03,onsdag,M,06:00,14:00,Morgon,false
2024-01-04,torsdag,A,14:00,22:00,Kväll,false
2024-01-05,fredag,A,14:00,22:00,Kväll,false
2024-01-06,lördag,A,14:00,22:00,Kväll,true
2024-01-07,söndag,N,22:00,06:00,Natt,true
2024-01-08,måndag,N,22:00,06:00,Natt,false
2024-01-09,tisdag,N,22:00,06:00,Natt,false
2024-01-10,onsdag,L,,,Ledig,false
2024-01-11,torsdag,L,,,Ledig,false
2024-01-12,fredag,L,,,Ledig,false
2024-01-13,lördag,L,,,Ledig,true
2024-01-14,söndag,L,,,Ledig,true
2024-01-15,måndag,M,06:00,14:00,Morgon,false
2024-01-16,tisdag,M,06:00,14:00,Morgon,false
2024-01-17,onsdag,M,06:00,14:00,Morgon,false
2024-01-18,torsdag,A,14:00,22:00,Kväll,false
2024-01-19,fredag,A,14:00,22:00,Kväll,false
2024-01-20,lördag,A,14:00,22:00,Kväll,true
2024-01-21,söndag,N,22:00,06:00,Natt,true
2024-01-22,måndag,N,22:00,06:00,Natt,false
2024-01-23,tisdag,N,22:00,06:00,Natt,false
2024-01-24,onsdag,L,,,Ledig,false
2024-01-25,torsdag,L,,,Ledig,false
2024-01-26,fredag,L,,,Ledig,false
2024-01-27,lördag,L,,,Ledig,true
2024-01-28,söndag,L,,,Ledig,true
2024-01-29,måndag,M,06:00,14:00,Morgon,false
2024-01-30,tisdag,M,06:00,14:00,Morgon,false
2024-01-31,onsdag,M,06:00,14:00,Morgon,false
2024-02-01,torsdag,A,14:00,22:00,Kväll,false
2024-02-02,fredag,A,14:00,22:00,Kväll,false
2024-02-03,lördag,A,14:00,22:00,Kväll,true
2024-02-04,söndag,N,22:00,06:00,Natt,true
2024-02-05,måndag,N,22:00,06:00,Natt,false
2024-02-06,tisdag,N,22:00,06:00,Natt,false
2024-02-07,onsdag,L,,,Ledig,false
2024-02-08,torsdag,L,,,Ledig,false
2024-02-09,fredag,L,,,Ledig,false
2024-02-10,lördag,L,,,Ledig,true
2024-02-11,söndag,L,,,Ledig,true
2024-02-12,måndag,M,06:00,14:00,Morgon,false
2024-02-13,tisdag,M,06:00,14:00,Morgon,false
2024-02-14,onsdag,M,06:00,14:00,Morgon,false
2024-02-15,torsdag,A,14:00,22:00,Kväll,false
2024-02-16,fredag,A,14:00,22:00,Kväll,false
2024-02-17,lördag,A,14:00,22:00,Kväll,true
2024-02-18,söndag,N,22:00,06:00,Natt,true
2024-02-19,måndag,N,22:00,06:00,Natt,false
2024-02-20,tisdag,N,22:00,06:00,Natt,false
2024-02-21,onsdag,L,,,Ledig,false
2024-02-22,torsdag,L,,,Ledig,false
2024-02-23,fredag,L,,,Ledig,false
2024-02-24,lördag,L,,,Ledig,true
2024-02-25,söndag,L,,,Ledig,true
2024-02-26,måndag,M,06:00,14:00,Morgon,false
2024-02-27,tisdag,M,06:00,14:00,Morgon,false
2024-02-28,onsdag,M,06:00,14:00,Morgon,false
2024-02-29,torsdag,A,14:00,22:00,Kväll,false
2024-03-01,fredag,A,14:00,22:00,Kväll,false
2024-03-02,lördag,A,14:00,22:00,Kväll,true
2024-03-03,söndag,N,22:00,06:00,Natt,true
2024-03-04,måndag,N,22:00,06:00,Natt,false
2024-03-05,tisdag,N,22:00,06:00,Natt,false
2024-03-06,onsdag,L,,,Ledig,false
2024-03-07,torsdag,L,,,Ledig,false
2024-03-08,fredag,L,,,Ledig,false
2024-03-09,lördag,L,,,Ledig,true
2024-03-10,söndag,L,,,Ledig,true
2024-03-11,måndag,M,06:00,14:00,Morgon,false
2024-03-12,tisdag,M,06:00,14:00,Morgon,false
2024-03-13,onsdag,M,06:00,14:00,Morgon,false
2024-03-14,torsdag,A,14:00,22:00,Kväll,false
2024-03-15,fredag,A,14:00,22:00,Kväll,false
2024-03-16,lördag,A,14:00,22:00,Kväll,true
2024-03-17,söndag,N,22:00,06:00,Natt,true
2024-03-18,måndag,N,22:00,06:00,Natt,false
2024-03-19,tisdag,N,22:00,06:00,Natt,false
2024-03-20,onsdag,L,,,Ledig,false
2024-03-21,torsdag,L,,,Ledig,false
2024-03-22,fredag,L,,,Ledig,false
2024-03-23,lördag,L,,,Ledig,true
2024-03-24,söndag,L,,,Ledig,true
2024-03-25,måndag,M,06:00,14:00,Morgon,false
2024-03-26,tisdag,M,06:00,14:00,Morgon,false
2024-03-27,onsdag,M,06:00,14:00,Morgon,false
2024-03-28,torsdag,A,14:00,22:00,Kväll,false
2024-03-29,fredag,A,14:00,22:00,Kväll,false
2024-03-30,lördag,A,14:00,22:00,Kväll,true
2024-03-31,söndag,N,22:00,06:00,Natt,true
2024-04-01,måndag,N,22:00,06:00,Natt,false
2024-04-02,tisdag,N,22:00,06:00,Natt,false
2024-04-03,onsdag,L,,,Ledig,false
2024-04-04,torsdag,L,,,Ledig,false
2024-04-05,fredag,L,,,Ledig,false
2024-04-06,lördag,L,,,Ledig,true
2024-04-07,söndag,L,,,Ledig,true
2024-04-08,måndag,M,06:00,14:00,Morgon,false
2024-04-09,tisdag,M,06:00,14:00,Morgon,false
2024-04-10,onsdag,M,06:00,14:00,Morgon,false
2024-04-11,torsdag,A,14:00,22:00,Kväll,false
2024-04-12,fredag,A,14:00,22:00,Kväll,false
2024-04-13,lördag,A,14:00,22:00,Kväll,true
2024-04-14,söndag,N,22:00,06:00,Natt,true
2024-04-15,måndag,N,22:00,06:00,Natt,false
2024-04-16,tisdag,N,22:00,06:00,Natt,false
2024-04-17,onsdag,L,,,Ledig,false
2024-04-18,torsdag,L,,,Ledig,false
2024-04-19,fredag,L,,,Ledig,false
2024-04-20,lördag,L,,,Ledig,true
2024-04-21,söndag,L,,,Ledig,true
2024-04-22,måndag,M,06:00,14:00,Morgon,false
2024-04-23,tisdag,M,06:00,14:00,Morgon,false
2024-04-24,onsdag,M,06:00,14:00,Morgon,false
2024-04-25,torsdag,A,14:00,22:00,Kväll,false
2024-04-26,fredag,A,14:00,22:00,Kväll,false
2024-04-27,lördag,A,14:00,22:00,Kväll,true
2024-04-28,söndag,N,22:00,06:00,Natt,true
2024-04-29,måndag,N,22:00,06:00,Natt,false
2024-04-30,tisdag,N,22:00,06:00,Natt,false
2024-05-01,onsdag,L,,,Ledig,false
2024-05-02,torsdag,L,,,Ledig,false
2024-05-03,fredag,L,,,Ledig,false
2024-05-04,lördag,L,,,Ledig,true
2024-05-05,söndag,L,,,Ledig,true
2024-05-06,måndag,M,06:00,14:00,Morgon,false
2024-05-07,tisdag,M,06:00,14:00,Morgon,false
2024-05-08,onsdag,M,06:00,14:00,Morgon,false
2024-05-09,torsdag,A,14:00,22:00,Kväll,false
2024-05-10,fredag,A,14:00,22:00,Kväll,false
2024-05-11,lördag,A,14:00,22:00,Kväll,true
2024-05-12,söndag,N,22:00,06:00,Natt,true
2024-05-13,måndag,N,22:00,06:00,Natt,false
2024-05-14,tisdag,N,22:00,06:00,Natt,false
2024-05-15,onsdag,L,,,Ledig,false
2024-05-16,torsdag,L,,,Ledig,false
2024-05-17,fredag,L,,,Ledig,false
2024-05-18,lördag,L,,,Ledig,true
2024-05-19,söndag,L,,,Ledig,true
2024-05-20,måndag,M,06:00,14:00,Morgon,false
2024-05-21,tisdag,M,06:00,14:00,Morgon,false
2024-05-22,onsdag,M,06:00,14:00,Morgon,false
2024-05-23,torsdag,A,14:00,22:00,Kväll,false
2024-05-24,fredag,A,14:00,22:00,Kväll,false
2024-05-25,lördag,A,14:00,22:00,Kväll,true
2024-05-26,söndag,N,22:00,06:00,Natt,true
2024-05-27,måndag,N,22:00,06:00,Natt,false
2024-05-28,tisdag,N,22:00,06:00,Natt,false
2024-05-29,onsdag,L,,,Ledig,false
2024-05-30,torsdag,L,,,Ledig,false
2024-05-31,fredag,L,,,Ledig,false
2024-06-01,lördag,L,,,Ledig,true
2024-06-02,söndag,L,,,Ledig,true
2024-06-03,måndag,M,06:00,14:00,Morgon,false
2024-06-04,tisdag,M,06:00,14:00,Morgon,false
2024-06-05,onsdag,M,06:00,14:00,Morgon,false
2024-06-06,torsdag,A,14:00,22:00,Kväll,false
2024-06-07,fredag,A,14:00,22:00,Kväll,false
2024-06-08,lördag,A,14:00,22:00,Kväll,true
2024-06-09,söndag,N,22:00,06:00,Natt,true
2024-06-10,måndag,N,22:00,06:00,Natt,false
2024-06-11,tisdag,N,22:00,06:00,Natt,false
2024-06-12,onsdag,L,,,Ledig,false
2024-06-13,torsdag,L,,,Ledig,false
2024-06-14,fredag,L,,,Ledig,false
2024-06-15,lördag,L,,,Ledig,true
2024-06-16,söndag,L,,,Ledig,true
2024-06-17,måndag,M,06:00,14:00,Morgon,false
2024-06-18,tisdag,M,06:00,14:00,Morgon,false
2024-06-19,onsdag,M,06:00,14:00,Morgon,false
2024-06-20,torsdag,A,14:00,22:00,Kväll,false
2024-06-21,fredag,A,14:00,22:00,Kväll,false
2024-06-22,lördag,A,14:00,22:00,Kväll,true
2024-06-23,söndag,N,22:00,06:00,Natt,true
2024-06-24,måndag,N,22:00,06:00,Natt,false
2024-06-25,tisdag,N,22:00,06:00,Natt,false
2024-06-26,onsdag,L,,,Ledig,false
2024-06-27,torsdag,L,,,Ledig,false
2024-06-28,fredag,L,,,Ledig,false
2024-06-29,lördag,L,,,Ledig,true
2024-06-30,söndag,L,,,Ledig,true
2024-07-01,måndag,M,06:00,14:00,Morgon,false
2024-07-02,tisdag,M,06:00,14:00,Morgon,false
2024-07-03,onsdag,M,06:00,14:00,Morgon,false
2024-07-04,torsdag,A,14:00,22:00,Kväll,false
